Date,Title,URL,Commodity,Hedging_Percentage,Speculative_Percentage,Effective_Date,Adjustment_Type,Source_Sentence,Parsing_Method,Confidence,Scraped_At
2025-04-25,Notice on Work Arrangements during Labor Day 2025,https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827640.html,Aluminum,10,11,2025-04-29,adjusted_to,"The price limits for aluminum, zinc, lead, alumina, wire rod and pulp futures contracts were adjusted to 9%, the margin ratio for hedging transactions was adjusted to 10%, and the margin ratio for spe",Claude_Enhanced,high,2025-07-01T19:23:23.631321
2025-04-25,Notice on Work Arrangements during Labor Day 2025,https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827640.html,Zinc,10,11,2025-04-29,adjusted_to,"The price limits for aluminum, zinc, lead, alumina, wire rod and pulp futures contracts were adjusted to 9%, the margin ratio for hedging transactions was adjusted to 10%, and the margin ratio for spe",Claude_Enhanced,high,2025-07-01T19:23:23.631421
2025-04-25,Notice on Work Arrangements during Labor Day 2025,https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827640.html,Lead,10,11,2025-04-29,adjusted_to,"The price limits for aluminum, zinc, lead, alumina, wire rod and pulp futures contracts were adjusted to 9%, the margin ratio for hedging transactions was adjusted to 10%, and the margin ratio for spe",Claude_Enhanced,high,2025-07-01T19:23:23.631523
2025-04-25,Notice on Work Arrangements during Labor Day 2025,https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827640.html,Alumina,10,11,2025-04-29,adjusted_to,"The price limits for aluminum, zinc, lead, alumina, wire rod and pulp futures contracts were adjusted to 9%, the margin ratio for hedging transactions was adjusted to 10%, and the margin ratio for spe",Claude_Enhanced,high,2025-07-01T19:23:23.631633
2025-04-25,Notice on Work Arrangements during Labor Day 2025,https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827640.html,Wire Rod,10,11,2025-04-29,adjusted_to,"The price limits for aluminum, zinc, lead, alumina, wire rod and pulp futures contracts were adjusted to 9%, the margin ratio for hedging transactions was adjusted to 10%, and the margin ratio for spe",Claude_Enhanced,high,2025-07-01T19:23:23.631746
2025-04-25,Notice on Work Arrangements during Labor Day 2025,https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827640.html,Pulp,10,11,2025-04-29,adjusted_to,"The price limits for aluminum, zinc, lead, alumina, wire rod and pulp futures contracts were adjusted to 9%, the margin ratio for hedging transactions was adjusted to 10%, and the margin ratio for spe",Claude_Enhanced,high,2025-07-01T19:23:23.631844
2025-04-25,Notice on Work Arrangements during Labor Day 2025,https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827640.html,Copper,11,12,2025-04-29,adjusted_to,"The price limit of copper futures contracts is adjusted to 10%, the margin ratio for hedging transactions is adjusted to 11%, and the margin ratio for speculative transactions is adjusted to 12%",Claude_Enhanced,high,2025-07-01T19:23:23.631927
2025-04-25,Notice on Work Arrangements during Labor Day 2025,https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827640.html,Natural Rubber,12,13,2025-04-29,adjusted_to,"The price limit of natural rubber futures contracts was adjusted to 11%, the margin ratio for hedging transactions was adjusted to 12%, and the margin ratio for speculative transactions was adjusted t",Claude_Enhanced,high,2025-07-01T19:23:23.632010
2025-04-25,Notice on Work Arrangements during Labor Day 2025,https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827640.html,Fuel Oil,13,14,2025-04-29,adjusted_to,"The price limits for fuel oil, petroleum asphalt, butadiene rubber, nickel and tin futures contracts were adjusted to 12%, the margin ratio for hedging transactions was adjusted to 13%, and the margin",Claude_Enhanced,high,2025-07-01T19:23:23.632091
2025-04-25,Notice on Work Arrangements during Labor Day 2025,https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827640.html,Petroleum Asphalt,13,14,2025-04-29,adjusted_to,"The price limits for fuel oil, petroleum asphalt, butadiene rubber, nickel and tin futures contracts were adjusted to 12%, the margin ratio for hedging transactions was adjusted to 13%, and the margin",Claude_Enhanced,high,2025-07-01T19:23:23.632173
2025-04-25,Notice on Work Arrangements during Labor Day 2025,https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827640.html,Butadiene Rubber,13,14,2025-04-29,adjusted_to,"The price limits for fuel oil, petroleum asphalt, butadiene rubber, nickel and tin futures contracts were adjusted to 12%, the margin ratio for hedging transactions was adjusted to 13%, and the margin",Claude_Enhanced,high,2025-07-01T19:23:23.632436
2025-04-25,Notice on Work Arrangements during Labor Day 2025,https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827640.html,Nickel,13,14,2025-04-29,adjusted_to,"The price limits for fuel oil, petroleum asphalt, butadiene rubber, nickel and tin futures contracts were adjusted to 12%, the margin ratio for hedging transactions was adjusted to 13%, and the margin",Claude_Enhanced,high,2025-07-01T19:23:23.632550
2025-04-25,Notice on Work Arrangements during Labor Day 2025,https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827640.html,Tin,13,14,2025-04-29,adjusted_to,"The price limits for fuel oil, petroleum asphalt, butadiene rubber, nickel and tin futures contracts were adjusted to 12%, the margin ratio for hedging transactions was adjusted to 13%, and the margin",Claude_Enhanced,high,2025-07-01T19:23:23.632640
2025-04-25,Notice on Work Arrangements during Labor Day 2025,https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827640.html,Silver,14,15,2025-04-29,adjusted_to,"The price limit of silver futures contracts is adjusted to 13%, the margin ratio for hedging transactions is adjusted to 14%, and the margin ratio for speculative transactions is adjusted to 15%",Claude_Enhanced,high,2025-07-01T19:23:23.632722
2025-04-25,Notice on Work Arrangements during Labor Day 2025,https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827640.html,Gold,15,16,2025-04-29,adjusted_to,"The price limit range of gold futures contracts was adjusted to 14%, the margin ratio for hedging transactions was adjusted to 15%, and the margin ratio for speculative transactions was adjusted to 16",Claude_Enhanced,high,2025-07-01T19:23:23.632802
2025-04-25,Notice on Work Arrangements during Labor Day 2025,https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827640.html,Gold,13,14,2025-05-06,adjusted_to,"The price limit range of gold futures contracts was adjusted to 12%, the margin ratio for hedging transactions was adjusted to 13%, and the margin ratio for speculative transactions was adjusted to 14",Claude_Enhanced,high,2025-07-01T19:23:23.632890
2025-04-25,Shanghai International Energy Exchange issued a notice on the work arrangements during the Labor Day in 2025,https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827639.html,Copper,11,12,2025-04-29,adjusted_to,"The price limit of international copper futures contracts was adjusted to 10%, the margin ratio for hedging transactions was adjusted to 11%, and the margin ratio for speculative transactions was adju",Claude_Enhanced,high,2025-07-01T19:23:45.521042
2025-04-25,Shanghai International Energy Exchange issued a notice on the work arrangements during the Labor Day in 2025,https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827639.html,Natural Rubber,12,13,2025-04-29,adjusted_to,"The price limit of No. 20 rubber futures contract was adjusted to 11%, the margin ratio for hedging transactions was adjusted to 12%, and the margin ratio for speculative transactions was adjusted to ",Claude_Enhanced,high,2025-07-01T19:23:45.521506
2025-04-25,Shanghai International Energy Exchange issued a notice on the work arrangements during the Labor Day in 2025,https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827639.html,Crude Oil,13,14,2025-04-29,adjusted_to,"The price limits for crude oil and low-sulfur fuel oil futures contracts are adjusted to 12%, the margin ratio for hedging transactions is adjusted to 13%, and the margin ratio for speculative transac",Claude_Enhanced,high,2025-07-01T19:23:45.521866
2025-04-25,Shanghai International Energy Exchange issued a notice on the work arrangements during the Labor Day in 2025,https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827639.html,Low-sulfur Fuel Oil,13,14,2025-04-29,adjusted_to,"The price limits for crude oil and low-sulfur fuel oil futures contracts are adjusted to 12%, the margin ratio for hedging transactions is adjusted to 13%, and the margin ratio for speculative transac",Claude_Enhanced,high,2025-07-01T19:23:45.522297
2025-04-25,Shanghai International Energy Exchange issued a notice on the work arrangements during the Labor Day in 2025,https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827639.html,ALL,0,0,2025-05-06,restored_to_original,The price limit ranges and trading margin ratios of all futures contracts have been restored to their original levels.,Claude_Enhanced,high,2025-07-01T19:23:45.522512
2025-04-10,Notice on Adjusting the Margin Ratio and Price Limits of Butadiene Rubber Futures Trading,https://www.shfe.com.cn/publicnotice/notice/202504/t20250410_825018.html,Butadiene Rubber,10,11,2025-04-11,adjusted_to,"the margin ratio for hedging transactions was adjusted to 10%, and the margin ratio for speculative transactions was adjusted to 11%",Claude_Enhanced,high,2025-07-01T19:26:07.663307
2025-04-10,Shanghai International Energy Exchange issued a notice on adjusting the margin ratio and price limit of No. 20 rubber futures trading,https://www.shfe.com.cn/publicnotice/notice/202504/t20250410_825017.html,Natural Rubber,9,10,2025-04-11,adjusted_to,"The price limit of No. 20 rubber futures contract was adjusted to 8%, the margin ratio for hedging transactions was adjusted to 9%, and the margin ratio for speculative transactions was adjusted to 10",Claude_Enhanced,high,2025-07-01T19:26:23.365678
2025-04-09,Notice on Adjusting the Margin Ratio and Price Limits of Fuel Oil and Other Futures Trading,https://www.shfe.com.cn/publicnotice/notice/202504/t20250409_825003.html,Fuel Oil,10,11,2025-04-10,adjusted_to,"The price limits for fuel oil and petroleum asphalt futures contracts were adjusted to 9%, the margin ratio for hedging transactions was adjusted to 10%, and the margin ratio for speculative transacti",Claude_Enhanced,high,2025-07-01T19:27:06.212113
2025-04-09,Notice on Adjusting the Margin Ratio and Price Limits of Fuel Oil and Other Futures Trading,https://www.shfe.com.cn/publicnotice/notice/202504/t20250409_825003.html,Petroleum Asphalt,10,11,2025-04-10,adjusted_to,"The price limits for fuel oil and petroleum asphalt futures contracts were adjusted to 9%, the margin ratio for hedging transactions was adjusted to 10%, and the margin ratio for speculative transacti",Claude_Enhanced,high,2025-07-01T19:27:06.212563
2025-04-09,Notice on Adjusting the Margin Ratio and Price Limits of Fuel Oil and Other Futures Trading,https://www.shfe.com.cn/publicnotice/notice/202504/t20250409_825003.html,Natural Rubber,9,10,2025-04-10,adjusted_to,"The price limit range of natural rubber futures contracts was adjusted to 8%, the margin ratio for hedging transactions was adjusted to 9%, and the margin ratio for speculative transactions was adjust",Claude_Enhanced,high,2025-07-01T19:27:06.213018
2025-04-09,Notice on Adjusting the Margin Ratio and Price Limits of Fuel Oil and Other Futures Trading,https://www.shfe.com.cn/publicnotice/notice/202504/t20250409_825003.html,Gold,12,13,2025-04-10,adjusted_to,"The price limit range of gold and silver futures contracts was adjusted to 11%, the margin ratio for hedging transactions was adjusted to 12%, and the margin ratio for speculative transactions was adj",Claude_Enhanced,high,2025-07-01T19:27:06.213313
2025-04-09,Notice on Adjusting the Margin Ratio and Price Limits of Fuel Oil and Other Futures Trading,https://www.shfe.com.cn/publicnotice/notice/202504/t20250409_825003.html,Silver,12,13,2025-04-10,adjusted_to,"The price limit range of gold and silver futures contracts was adjusted to 11%, the margin ratio for hedging transactions was adjusted to 12%, and the margin ratio for speculative transactions was adj",Claude_Enhanced,high,2025-07-01T19:27:06.213480
2025-04-09,Shanghai International Energy Exchange issued a notice on adjusting the margin ratio and price limit range of crude oil and other futures transactions,https://www.shfe.com.cn/publicnotice/notice/202504/t20250409_825002.html,Crude Oil,10,11,2025-04-10,adjusted_to,"The price limits for crude oil and low-sulfur fuel oil futures contracts were adjusted to 9%, the margin ratio for hedging transactions was adjusted to 10%, and the margin ratio for speculative transa",Claude_Enhanced,high,2025-07-01T19:27:20.149523
2025-04-09,Shanghai International Energy Exchange issued a notice on adjusting the margin ratio and price limit range of crude oil and other futures transactions,https://www.shfe.com.cn/publicnotice/notice/202504/t20250409_825002.html,Low-sulfur Fuel Oil,10,11,2025-04-10,adjusted_to,"The price limits for crude oil and low-sulfur fuel oil futures contracts were adjusted to 9%, the margin ratio for hedging transactions was adjusted to 10%, and the margin ratio for speculative transa",Claude_Enhanced,high,2025-07-01T19:27:20.150038
2025-04-01,Notice on the work arrangements during the Qingming Festival in 2025,https://www.shfe.com.cn/publicnotice/notice/202504/t20250401_824935.html,Alumina,8,9,2025-04-07,adjusted_to,"The price limit of alumina futures contracts was adjusted to 7%, the margin ratio for hedging transactions was adjusted to 8%, and the margin ratio for speculative transactions was adjusted to 9%",Claude_Enhanced,high,2025-07-01T19:30:02.470507
2025-03-07,Notice on Adjusting the Margin Ratio and Price Limits of Alumina Futures Trading,https://www.shfe.com.cn/publicnotice/notice/202503/t20250307_824723.html,Alumina,9,10,2025-03-11,adjusted_to,"the margin ratio for hedging transactions was adjusted to 9%, and the margin ratio for speculative transactions was adjusted to 10%",Claude_Enhanced,high,2025-07-01T19:34:14.629049
2025-01-22,Notice on Work Arrangements during the 2025 Spring Festival,https://www.shfe.com.cn/publicnotice/notice/202501/t20250122_824396.html,Copper,11,12,2025-01-24,adjusted_to,"The price limits for copper, aluminum, zinc and lead futures contracts are adjusted to 10%, the margin ratio for hedging transactions is adjusted to 11%, and the margin ratio for speculative transacti",Claude_Enhanced,high,2025-07-01T19:39:01.727830
2025-01-22,Notice on Work Arrangements during the 2025 Spring Festival,https://www.shfe.com.cn/publicnotice/notice/202501/t20250122_824396.html,Aluminum,11,12,2025-01-24,adjusted_to,"The price limits for copper, aluminum, zinc and lead futures contracts are adjusted to 10%, the margin ratio for hedging transactions is adjusted to 11%, and the margin ratio for speculative transacti",Claude_Enhanced,high,2025-07-01T19:39:01.728215
2025-01-22,Notice on Work Arrangements during the 2025 Spring Festival,https://www.shfe.com.cn/publicnotice/notice/202501/t20250122_824396.html,Zinc,11,12,2025-01-24,adjusted_to,"The price limits for copper, aluminum, zinc and lead futures contracts are adjusted to 10%, the margin ratio for hedging transactions is adjusted to 11%, and the margin ratio for speculative transacti",Claude_Enhanced,high,2025-07-01T19:39:01.728319
2025-01-22,Notice on Work Arrangements during the 2025 Spring Festival,https://www.shfe.com.cn/publicnotice/notice/202501/t20250122_824396.html,Lead,11,12,2025-01-24,adjusted_to,"The price limits for copper, aluminum, zinc and lead futures contracts are adjusted to 10%, the margin ratio for hedging transactions is adjusted to 11%, and the margin ratio for speculative transacti",Claude_Enhanced,high,2025-07-01T19:39:01.728395
2025-01-22,Notice on Work Arrangements during the 2025 Spring Festival,https://www.shfe.com.cn/publicnotice/notice/202501/t20250122_824396.html,Nickel,14,15,2025-01-24,adjusted_to,"The price limits for nickel, tin, alumina, gold and silver futures contracts were adjusted to 13%, the margin ratio for hedging transactions was adjusted to 14%, and the margin ratio for speculative t",Claude_Enhanced,high,2025-07-01T19:39:01.728522
2025-01-22,Notice on Work Arrangements during the 2025 Spring Festival,https://www.shfe.com.cn/publicnotice/notice/202501/t20250122_824396.html,Tin,14,15,2025-01-24,adjusted_to,"The price limits for nickel, tin, alumina, gold and silver futures contracts were adjusted to 13%, the margin ratio for hedging transactions was adjusted to 14%, and the margin ratio for speculative t",Claude_Enhanced,high,2025-07-01T19:39:01.728984
2025-01-22,Notice on Work Arrangements during the 2025 Spring Festival,https://www.shfe.com.cn/publicnotice/notice/202501/t20250122_824396.html,Alumina,14,15,2025-01-24,adjusted_to,"The price limits for nickel, tin, alumina, gold and silver futures contracts were adjusted to 13%, the margin ratio for hedging transactions was adjusted to 14%, and the margin ratio for speculative t",Claude_Enhanced,high,2025-07-01T19:39:01.729105
2025-01-22,Notice on Work Arrangements during the 2025 Spring Festival,https://www.shfe.com.cn/publicnotice/notice/202501/t20250122_824396.html,Gold,14,15,2025-01-24,adjusted_to,"The price limits for nickel, tin, alumina, gold and silver futures contracts were adjusted to 13%, the margin ratio for hedging transactions was adjusted to 14%, and the margin ratio for speculative t",Claude_Enhanced,high,2025-07-01T19:39:01.729356
2025-01-22,Notice on Work Arrangements during the 2025 Spring Festival,https://www.shfe.com.cn/publicnotice/notice/202501/t20250122_824396.html,Silver,14,15,2025-01-24,adjusted_to,"The price limits for nickel, tin, alumina, gold and silver futures contracts were adjusted to 13%, the margin ratio for hedging transactions was adjusted to 14%, and the margin ratio for speculative t",Claude_Enhanced,high,2025-07-01T19:39:01.729466
2025-01-22,Notice on Work Arrangements during the 2025 Spring Festival,https://www.shfe.com.cn/publicnotice/notice/202501/t20250122_824396.html,Rebar,9,10,2025-01-24,adjusted_to,"The price limits for rebar, hot-rolled coil and stainless steel futures contracts are adjusted to 8%, the margin ratio for hedging transactions is adjusted to 9%, and the margin ratio for speculative ",Claude_Enhanced,high,2025-07-01T19:39:01.729531
2025-01-22,Notice on Work Arrangements during the 2025 Spring Festival,https://www.shfe.com.cn/publicnotice/notice/202501/t20250122_824396.html,Hot-rolled Coil,9,10,2025-01-24,adjusted_to,"The price limits for rebar, hot-rolled coil and stainless steel futures contracts are adjusted to 8%, the margin ratio for hedging transactions is adjusted to 9%, and the margin ratio for speculative ",Claude_Enhanced,high,2025-07-01T19:39:01.729604
2025-01-22,Notice on Work Arrangements during the 2025 Spring Festival,https://www.shfe.com.cn/publicnotice/notice/202501/t20250122_824396.html,Stainless Steel,9,10,2025-01-24,adjusted_to,"The price limits for rebar, hot-rolled coil and stainless steel futures contracts are adjusted to 8%, the margin ratio for hedging transactions is adjusted to 9%, and the margin ratio for speculative ",Claude_Enhanced,high,2025-07-01T19:39:01.729663
2025-01-22,Notice on Work Arrangements during the 2025 Spring Festival,https://www.shfe.com.cn/publicnotice/notice/202501/t20250122_824396.html,Fuel Oil,11,12,2025-01-24,adjusted_to,"The price limits of fuel oil, petroleum asphalt and butadiene rubber futures contracts were adjusted to 10%, the margin ratio for hedging transactions was adjusted to 11%, and the margin ratio for spe",Claude_Enhanced,high,2025-07-01T19:39:01.729715
2025-01-22,Notice on Work Arrangements during the 2025 Spring Festival,https://www.shfe.com.cn/publicnotice/notice/202501/t20250122_824396.html,Petroleum Asphalt,11,12,2025-01-24,adjusted_to,"The price limits of fuel oil, petroleum asphalt and butadiene rubber futures contracts were adjusted to 10%, the margin ratio for hedging transactions was adjusted to 11%, and the margin ratio for spe",Claude_Enhanced,high,2025-07-01T19:39:01.729769
2025-01-22,Notice on Work Arrangements during the 2025 Spring Festival,https://www.shfe.com.cn/publicnotice/notice/202501/t20250122_824396.html,Butadiene Rubber,11,12,2025-01-24,adjusted_to,"The price limits of fuel oil, petroleum asphalt and butadiene rubber futures contracts were adjusted to 10%, the margin ratio for hedging transactions was adjusted to 11%, and the margin ratio for spe",Claude_Enhanced,high,2025-07-01T19:39:01.729888
2025-01-22,Notice on Work Arrangements during the 2025 Spring Festival,https://www.shfe.com.cn/publicnotice/notice/202501/t20250122_824396.html,Natural Rubber,10,11,2025-01-24,adjusted_to,"The price limit range of natural rubber and pulp futures contracts was adjusted to 9%, the hedging margin ratio was adjusted to 10%, and the speculative margin ratio was adjusted to 11%",Claude_Enhanced,high,2025-07-01T19:39:01.729939
2025-01-22,Notice on Work Arrangements during the 2025 Spring Festival,https://www.shfe.com.cn/publicnotice/notice/202501/t20250122_824396.html,Pulp,10,11,2025-01-24,adjusted_to,"The price limit range of natural rubber and pulp futures contracts was adjusted to 9%, the hedging margin ratio was adjusted to 10%, and the speculative margin ratio was adjusted to 11%",Claude_Enhanced,high,2025-07-01T19:39:01.729989
2025-01-22,Notice on Work Arrangements during the 2025 Spring Festival,https://www.shfe.com.cn/publicnotice/notice/202501/t20250122_824396.html,ALL,0,0,2025-02-05,restored_to_original,The price limit ranges and trading margin ratios of all futures contracts have been restored to their original levels,Claude_Enhanced,high,2025-07-01T19:39:01.730043
2025-01-22,Shanghai International Energy Exchange issued a notice on the work arrangements during the 2025 Spring Festival,https://www.shfe.com.cn/publicnotice/notice/202501/t20250122_824395.html,Copper,11,12,2025-01-24,adjusted_to,"The price limit of international copper futures contracts was adjusted to 10%, the margin ratio for hedging transactions was adjusted to 11%, and the margin ratio for speculative transactions was adju",Claude_Enhanced,high,2025-07-01T19:39:19.616859
2025-01-22,Shanghai International Energy Exchange issued a notice on the work arrangements during the 2025 Spring Festival,https://www.shfe.com.cn/publicnotice/notice/202501/t20250122_824395.html,Crude Oil,11,12,2025-01-24,adjusted_to,"The price limits for crude oil and low-sulfur fuel oil futures contracts are adjusted to 10%, the margin ratio for hedging transactions is adjusted to 11%, and the margin ratio for speculative transac",Claude_Enhanced,high,2025-07-01T19:39:19.617508
2025-01-22,Shanghai International Energy Exchange issued a notice on the work arrangements during the 2025 Spring Festival,https://www.shfe.com.cn/publicnotice/notice/202501/t20250122_824395.html,Low-sulfur Fuel Oil,11,12,2025-01-24,adjusted_to,"The price limits for crude oil and low-sulfur fuel oil futures contracts are adjusted to 10%, the margin ratio for hedging transactions is adjusted to 11%, and the margin ratio for speculative transac",Claude_Enhanced,high,2025-07-01T19:39:19.617894
2025-01-22,Shanghai International Energy Exchange issued a notice on the work arrangements during the 2025 Spring Festival,https://www.shfe.com.cn/publicnotice/notice/202501/t20250122_824395.html,Natural Rubber,10,11,2025-01-24,adjusted_to,"The price limit of No. 20 rubber futures contract is adjusted to 9%, the margin ratio of hedging transactions is adjusted to 10%, and the margin ratio of speculative transactions is adjusted to 11%",Claude_Enhanced,high,2025-07-01T19:39:19.618227
2025-01-22,Shanghai International Energy Exchange issued a notice on the work arrangements during the 2025 Spring Festival,https://www.shfe.com.cn/publicnotice/notice/202501/t20250122_824395.html,ALL,0,0,2025-02-05,restored_to_original,The price limit ranges and trading margin ratios of all futures contracts have been restored to their original levels,Claude_Enhanced,high,2025-07-01T19:39:19.618553
2025-04-25,Notice on Work Arrangements during Labor Day 2025 [INFERRED REVERSION],https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827640.html,Copper,8,9,2025-05-06,reverted_to_original,Inferred from reversion notice: The price limit ranges and trading margin ratios of other futures contracts have been restored to their original levels,Reversion_Inference,medium,2025-07-01T19:44:08.728142
2025-04-25,Notice on Work Arrangements during Labor Day 2025 [INFERRED REVERSION],https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827640.html,Aluminum,8,9,2025-05-06,reverted_to_original,Inferred from reversion notice: The price limit ranges and trading margin ratios of other futures contracts have been restored to their original levels,Reversion_Inference,medium,2025-07-01T19:44:08.730232
2025-04-25,Notice on Work Arrangements during Labor Day 2025 [INFERRED REVERSION],https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827640.html,Zinc,8,9,2025-05-06,reverted_to_original,Inferred from reversion notice: The price limit ranges and trading margin ratios of other futures contracts have been restored to their original levels,Reversion_Inference,medium,2025-07-01T19:44:08.730380
2025-04-25,Notice on Work Arrangements during Labor Day 2025 [INFERRED REVERSION],https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827640.html,Lead,8,9,2025-05-06,reverted_to_original,Inferred from reversion notice: The price limit ranges and trading margin ratios of other futures contracts have been restored to their original levels,Reversion_Inference,medium,2025-07-01T19:44:08.730475
2025-04-25,Notice on Work Arrangements during Labor Day 2025 [INFERRED REVERSION],https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827640.html,Nickel,11,12,2025-05-06,reverted_to_original,Inferred from reversion notice: The price limit ranges and trading margin ratios of other futures contracts have been restored to their original levels,Reversion_Inference,medium,2025-07-01T19:44:08.730556
2025-04-25,Notice on Work Arrangements during Labor Day 2025 [INFERRED REVERSION],https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827640.html,Tin,11,12,2025-05-06,reverted_to_original,Inferred from reversion notice: The price limit ranges and trading margin ratios of other futures contracts have been restored to their original levels,Reversion_Inference,medium,2025-07-01T19:44:08.730630
2025-04-25,Notice on Work Arrangements during Labor Day 2025 [INFERRED REVERSION],https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827640.html,Alumina,9,10,2025-05-06,reverted_to_original,Inferred from reversion notice: The price limit ranges and trading margin ratios of other futures contracts have been restored to their original levels,Reversion_Inference,medium,2025-07-01T19:44:08.730697
2025-04-25,Notice on Work Arrangements during Labor Day 2025 [INFERRED REVERSION],https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827640.html,Silver,12,13,2025-05-06,reverted_to_original,Inferred from reversion notice: The price limit ranges and trading margin ratios of other futures contracts have been restored to their original levels,Reversion_Inference,medium,2025-07-01T19:44:08.730751
